Date,GOOGL,KO,UPS,V,WMT
2021-01-04,86.09332275390625,47.08560562133789,144.1606903076172,211.89874267578125,46.17340087890625
2021-01-05,86.78759765625,46.567989349365234,142.154052734375,208.7362060546875,45.92761993408203
2021-01-06,85.93121337890625,45.086524963378906,141.73159790039062,206.89710998535156,46.21437454223633
2021-01-07,88.49787139892578,44.58674621582031,139.93621826171875,208.05508422851562,46.21122360229492
2021-01-08,89.66946411132812,45.58629608154297,139.39932250976562,209.65097045898438,46.20492172241211
2021-01-11,87.59759521484375,44.80093765258789,142.45330810546875,207.1598358154297,46.41289138793945
2021-01-12,86.65692138671875,44.720619201660156,144.25750732421875,203.23834228515625,46.94228744506836
2021-01-13,87.14671325683594,44.76524353027344,143.55340576171875,203.71514892578125,46.46331024169922
2021-01-14,86.33222961425781,43.935264587402344,143.8702392578125,196.42674255371094,46.31206130981445
2021-01-15,86.16763305664062,43.4622688293457,139.8482208251953,196.1639862060547,45.57784652709961
2021-01-19,89.00311279296875,43.292701721191406,137.5422821044922,196.2321319580078,45.1839599609375
2021-01-20,93.77130889892578,43.44441604614258,140.6754608154297,200.46502685546875,45.85199737548828
2021-01-21,93.97480010986328,43.68537902832031,140.904296875,199.61843872070312,45.644020080566406
2021-01-22,94.39425659179688,43.274845123291016,139.92739868164062,196.58245849609375,46.110389709472656
2021-01-25,94.48004150390625,43.533668518066406,142.35646057128906,195.57040405273438,46.06941604614258
2021-01-26,95.161865234375,43.98881149291992,142.07481384277344,196.57272338867188,46.48222351074219
2021-01-27,90.72235870361328,43.310546875,138.74803161621094,189.72216796875,45.32575607299805
2021-01-28,92.4311294555664,43.863868713378906,138.41360473632812,192.8846893310547,45.297393798828125
2021-01-29,91.1423110961914,42.97142028808594,136.41578674316406,188.04849243164062,44.27013397216797
2021-02-01,94.41970825195312,43.26593017578125,137.5247344970703,193.0209503173828,43.88568878173828
2021-02-02,95.71898651123047,43.694297790527344,141.07150268554688,197.15655517578125,44.358360290527344
2021-02-03,102.68972778320312,43.52473068237305,140.56109619140625,195.94020080566406,44.49384689331055
2021-02-04,102.42787170410156,43.73891830444336,142.80532836914062,203.61785888671875,44.91294860839844
2021-02-05,104.18352508544922,44.31009292602539,144.67112731933594,203.1507568359375,45.48960876464844
2021-02-08,103.96855163574219,44.551055908203125,143.8526611328125,201.32135009765625,45.700740814208984
2021-02-09,103.51318359375,44.35472106933594,146.9066162109375,200.9613037109375,45.95283508300781
2021-02-10,104.06631469726562,44.265464782714844,145.79766845703125,200.8834686279297,45.41713333129883
2021-02-11,104.17952728271484,44.89018249511719,142.9021453857422,205.3081512451172,45.38247299194336
2021-02-12,104.49275970458984,45.23823928833008,143.79983520507812,204.6259002685547,45.52426528930664
2021-02-16,105.27433013916016,44.8634147644043,142.35646057128906,202.6182403564453,45.89925765991211
2021-02-17,105.66934204101562,44.738468170166016,141.6964111328125,202.23814392089844,46.38452911376953
