Date,CVX,JNJ,KO,LMT,PEP,T,XOM
2022-01-03,107.2700424194336,158.5090789794922,54.59065628051758,329.6562805175781,160.04058837890625,15.975507736206055,57.61800765991211
2022-01-04,109.22187042236328,158.0840301513672,55.502044677734375,336.7543640136719,160.2718963623047,16.10743522644043,59.78525161743164
2022-01-05,109.93245697021484,159.13742065429688,55.96232986450195,333.1728210449219,160.81777954101562,16.46551513671875,60.52882766723633
2022-01-06,110.86790466308594,158.59226989746094,55.66774368286133,333.04254150390625,160.8547821044922,16.40269660949707,61.95250701904297
2022-01-07,112.4599380493164,160.73599243164062,55.53887176513672,335.0333557128906,161.0583038330078,16.963058471679688,62.46030807495117
2022-01-10,112.53190612792969,159.94131469726562,55.63092803955078,337.9265441894531,161.14157104492188,17.072750091552734,62.08851623535156
2022-01-11,115.10436248779297,158.24111938476562,55.649330139160156,338.7545471191406,161.06756591796875,16.995323181152344,64.70010375976562
2022-01-12,114.52870178222656,156.8920135498047,55.73219299316406,336.11248779296875,160.89178466796875,17.066299438476562,64.5096664428711
2022-01-13,114.05199432373047,155.9402618408203,56.0635986328125,339.72198486328125,161.1508331298828,17.292129516601562,64.04719543457031
2022-01-14,115.99484252929688,155.0901336669922,56.514686584472656,346.6434020996094,162.50164794921875,17.537315368652344,65.17164611816406
2022-01-18,116.37261199951172,154.40640258789062,56.0635986328125,350.2900390625,160.9473114013672,17.62119483947754,66.26886749267578
2022-01-19,115.9498519897461,153.9258575439453,56.15565490722656,351.0249938964844,162.10379028320312,17.601839065551758,66.29605865478516
2022-01-20,115.53610229492188,152.69691467285156,55.925498962402344,348.97833251953125,160.92877197265625,17.434080123901367,66.44114685058594
2022-01-21,114.15093994140625,152.34573364257812,55.649330139160156,345.3223571777344,161.18785095214844,17.169530868530273,65.44367980957031
2022-01-24,114.39379119873047,150.59007263183594,55.19824981689453,347.3038635253906,160.36441040039062,16.995323181152344,66.00588989257812
2022-01-25,119.25989532470703,154.89610290527344,55.069366455078125,360.1790771484375,158.52330017089844,17.085657119750977,67.9464340209961
2022-01-26,119.34984588623047,155.58914184570312,54.86683654785156,363.96527099609375,156.84866333007812,15.646796226501465,67.25726318359375
2022-01-27,121.76039123535156,157.63124084472656,54.912872314453125,361.95587158203125,156.70065307617188,15.56291675567627,68.11873626708984
2022-01-28,117.47894287109375,158.74008178710938,56.00836181640625,365.74212646484375,159.7537841796875,16.266212463378906,68.26380920410156
2022-01-31,118.12654876708984,159.2021026611328,56.16485595703125,362.00238037109375,160.54022216796875,16.453332901000977,68.88043975830078
2022-02-01,121.23871612548828,157.8992156982422,55.75059509277344,360.03021240234375,159.448486328125,15.756487846374512,73.29654693603516
2022-02-02,121.79640197753906,159.6456298828125,56.32135772705078,360.33721923828125,162.3443603515625,15.833909034729004,73.10613250732422
2022-02-03,120.7080078125,159.6363983154297,56.71720504760742,362.5326843261719,162.25181579589844,15.846818923950195,72.25373840332031
2022-02-04,122.21913146972656,158.59226989746094,56.11883544921875,362.18841552734375,159.5872802734375,15.537104606628418,73.82250213623047
2022-02-07,124.62068176269531,158.06553649902344,56.7080078125,364.98858642578125,158.95811462402344,15.440323829650879,74.7111587524414
2022-02-08,122.72282409667969,158.4813690185547,57.076236724853516,368.4306640625,159.15240478515625,15.446775436401367,72.77967834472656
2022-02-09,123.93707275390625,158.46287536621094,56.19247817993164,367.03521728515625,159.07839965820312,15.808101654052734,72.43126678466797
2022-02-10,122.36302947998047,156.5501251220703,56.50547790527344,358.560302734375,155.77545166015625,15.646796226501465,71.7344741821289
2022-02-11,124.85454559326172,154.9700164794922,55.502044677734375,368.5702209472656,155.96975708007812,15.569369316101074,73.54065704345703
2022-02-14,122.9296875,153.0203399658203,55.86106491088867,359.9929504394531,154.2303466796875,15.517752647399902,72.41293334960938
2022-02-15,122.02985382080078,154.60040283203125,56.07279968261719,355.5740661621094,153.5457305908203,15.704867362976074,71.50525665283203
2022-02-16,122.06623840332031,154.50802612304688,56.0635986328125,359.9278564453125,153.8603057861328,15.446775436401367,71.83531951904297
2022-02-17,121.43907165527344,153.5655059814453,57.186702728271484,361.6674499511719,154.27664184570312,15.330634117126465,71.72530364990234
2022-02-18,121.26639556884766,151.91944885253906,57.57335662841797,359.51849365234375,155.16482543945312,15.401610374450684,70.92764282226562
2022-02-22,120.33929443359375,149.85491943359375,57.334007263183594,359.2766418457031,155.7569122314453,15.324182510375977,70.10247802734375
2022-02-23,123.20237731933594,149.92935180664062,56.69879913330078,361.7884216308594,154.22108459472656,15.169329643249512,70.38668823242188
2022-02-24,122.56613159179688,147.0650177001953,55.704566955566406,368.1236877441406,151.53802490234375,14.988661766052246,69.49735260009766
2022-02-25,127.59242248535156,154.37457275390625,57.85873794555664,380.9430236816406,155.78468322753906,15.427417755126953,71.36771392822266
2022-02-28,130.8826446533203,153.04469299316406,57.29718017578125,406.3367004394531,151.4917755126953,15.285470008850098,71.8995132446289
2022-03-01,136.0815887451172,152.5146026611328,57.04861831665039,427.70263671875,150.13174438476562,15.182229042053223,72.5871353149414
2022-03-02,140.09896850585938,154.41175842285156,57.47209548950195,421.5111389160156,152.21343994140625,15.369348526000977,73.83406066894531
2022-03-03,141.989501953125,156.68087768554688,57.50891876220703,419.4691467285156,152.0504913330078,15.427417755126953,74.30165100097656
2022-03-04,144.19813537597656,157.61083984375,57.60097122192383,429.1451721191406,154.36004638671875,15.401610374450684,77.09805297851562
2022-03-07,147.27931213378906,160.14962768554688,56.229305267333984,436.6387023925781,151.2868194580078,15.208038330078125,79.87612915039062
