Date,AMZN,COST,GOOGL,GS,ORCL,PG,WMT
2020-01-02,94.90049743652344,268.2441101074219,68.26496124267578,208.35630798339844,50.0557746887207,109.72233581542969,36.86406707763672
2020-01-03,93.74849700927734,268.4649963378906,67.90784454345703,205.919921875,49.87948226928711,108.98439025878906,36.538639068603516
2020-01-06,95.14399719238281,268.5386047363281,69.71786499023438,208.0272979736328,50.1392822265625,109.13554382324219,36.46424865722656
2020-01-07,95.34300231933594,268.115234375,69.58320617675781,209.39671325683594,50.25061798095703,108.4598159790039,36.12642288208008
2020-01-08,94.59850311279297,271.1888732910156,70.07847595214844,211.41514587402344,50.446327209472656,108.92215728759766,36.0024528503418
2020-01-09,95.05249786376953,275.54168701171875,70.81415557861328,215.71884155273438,50.679317474365234,110.11353302001953,36.37437057495117
2020-01-10,94.15799713134766,273.5355224609375,71.27151489257812,215.28317260742188,50.74454879760742,110.22023010253906,36.07062911987305
2020-01-13,94.56500244140625,275.9557800292969,71.82365417480469,218.0396728515625,50.86569595336914,111.029296875,35.91566848754883
2020-01-14,93.47200012207031,275.8453369140625,71.35282135009766,218.43980407714844,51.145294189453125,110.86036682128906,36.008644104003906
2020-01-15,93.10099792480469,276.83001708984375,71.7822494506836,218.0396728515625,51.03345489501953,111.98949432373047,35.729698181152344
2020-01-16,93.89700317382812,278.8638000488281,72.32890319824219,222.0499267578125,51.657859802246094,112.0873031616211,35.921852111816406
2020-01-17,93.23600006103516,280.38226318359375,73.79327392578125,221.8187255859375,51.37828063964844,112.38961791992188,35.63051986694336
2020-01-21,94.5999984741211,288.27801513671875,73.929443359375,218.47537231445312,51.46215057373047,112.10509490966797,35.82577896118164
2020-01-22,94.37300109863281,287.0173034667969,74.01023864746094,219.67576599121094,50.99618148803711,112.3006820678711,35.983856201171875
2020-01-23,94.22899627685547,287.9283142089844,74.05113983154297,218.36868286132812,51.23847961425781,111.7873306274414,35.89396667480469
2020-01-24,93.08200073242188,285.7472229003906,73.12742614746094,215.11419677734375,50.39040756225586,111.92149353027344,35.447654724121094
2020-01-27,91.41699981689453,284.77191162109375,71.40968322753906,211.75303649902344,49.10432434082031,112.41338348388672,35.90946578979492
2020-01-28,92.6624984741211,286.0602111816406,72.34586334228516,215.70106506347656,49.821922302246094,112.71747589111328,36.138816833496094
2020-01-29,92.9000015258789,284.89141845703125,72.65509033203125,213.51364135742188,49.57961654663086,111.84992218017578,35.91876220703125
2020-01-30,93.53399658203125,284.79022216796875,72.53289794921875,217.079345703125,49.682132720947266,112.64591217041016,36.13262939453125
2020-01-31,100.43599700927734,281.1552734375,71.46205139160156,211.40625,48.88065719604492,111.45640563964844,35.48484420776367
2020-02-03,100.20999908447266,277.91595458984375,73.94689178466797,212.52659606933594,49.477108001708984,111.89463806152344,35.41666030883789
2020-02-04,102.4834976196289,280.5846252441406,72.09198760986328,215.13197326660156,50.362449645996094,112.38656616210938,35.72659683227539
2020-02-05,101.99349975585938,284.311767578125,72.12390899658203,217.23046875,51.01482009887695,113.41509246826172,36.20389938354492
2020-02-06,102.5114974975586,286.4419250488281,73.6162109375,215.02528381347656,50.98686599731445,113.7102279663086,36.04893493652344
2020-02-07,103.96399688720703,289.2270202636719,73.7728271484375,211.6285400390625,50.99618148803711,112.76219940185547,36.092323303222656
2020-02-10,106.69550323486328,289.3745422363281,75.2466812133789,211.05946350097656,51.247798919677734,112.84268188476562,35.72040557861328
2020-02-11,107.54000091552734,286.5065612792969,75.3165054321289,210.2592010498047,51.39691925048828,111.04500579833984,35.76689147949219
2020-02-12,108.0,290.60101318359375,75.74394989013672,212.20654296875,51.93744659423828,110.40999603271484,35.9063720703125
2020-02-13,107.49349975585938,293.44146728515625,75.48259735107422,211.93978881835938,51.5460205078125,111.76050567626953,36.399169921875
2020-02-14,106.74349975585938,293.5428466796875,75.74893188476562,210.8104705810547,51.69513702392578,112.81583404541016,36.538639068603516
2020-02-18,107.78350067138672,296.9918518066406,75.78434753417969,207.3693084716797,51.6765022277832,111.68000030517578,37.07792663574219
2020-02-19,108.51100158691406,297.8863525390625,76.05517578125,211.03280639648438,51.66718292236328,112.18978118896484,36.473548889160156
2020-02-20,107.65499877929688,298.8638916015625,75.66214752197266,206.94248962402344,51.732418060302734,113.2093734741211,36.47665023803711
2020-02-21,104.79850006103516,296.89959716796875,73.98978424072266,205.06629943847656,50.95889663696289,113.31668853759766,36.752498626708984
2020-02-24,100.4645004272461,289.2177429199219,70.81764221191406,199.6599884033203,49.067047119140625,110.27584075927734,36.05203628540039
2020-02-25,98.63700103759766,281.1485900878906,69.14479064941406,193.49786376953125,47.4920539855957,108.60334777832031,35.45384979248047
2020-02-26,98.97949981689453,281.9047546386719,69.35177612304688,191.87063598632812,48.50787353515625,107.46751403808594,35.26478958129883
2020-02-27,94.21499633789062,270.3220520019531,65.58509826660156,182.89865112304688,47.32429885864258,101.5110092163086,34.21718978881836
2020-02-28,94.1875,259.2649841308594,66.7970962524414,179.6153106689453,46.09413146972656,101.26953125,33.37416076660156
2020-03-02,97.69750213623047,285.08636474609375,69.14479064941406,187.39865112304688,47.43614196777344,106.9308853149414,35.91566848754883
2020-03-03,95.44950103759766,279.17510986328125,66.72079467773438,181.9950714111328,45.525638580322266,105.68770599365234,34.99513626098633
2020-03-04,98.79149627685547,295.78375244140625,68.90937042236328,186.7455596923828,47.10063934326172,111.3490982055664,36.191505432128906
2020-03-05,96.20149993896484,291.1912536621094,65.57562255859375,177.84397888183594,44.733482360839844,108.78223419189453,35.92805480957031
