Date,COST,ETH-USD,LTC-USD,MRNA,MSFT,NVDA,PFE
2020-01-02,268.2441101074219,127.4101791381836,39.82301330566406,19.229999542236328,153.93821716308594,5.973121166229248,30.443782806396484
2020-01-03,268.4649353027344,134.1717071533203,42.41557312011719,18.889999389648438,152.02139282226562,5.877516746520996,30.280439376831055
2020-01-06,268.5385437011719,144.3041534423828,45.81635284423828,18.1299991607666,152.41432189941406,5.902164936065674,30.241554260253906
2020-01-07,268.11529541015625,143.5439910888672,46.424583435058594,17.780000686645508,151.024658203125,5.973620414733887,30.14042854309082
2020-01-08,271.1888732910156,141.2581329345703,45.65376663208008,17.979999542236328,153.4302215576172,5.984825134277344,30.381553649902344
2020-01-09,275.54168701171875,138.9792022705078,45.2159309387207,18.399999618530273,155.3470458984375,6.050552845001221,30.24932289123535
2020-01-10,273.5355224609375,143.96377563476562,48.72732925415039,19.139999389648438,154.62823486328125,6.082920074462891,30.716022491455078
2020-01-13,275.9558410644531,144.22659301757812,49.733768463134766,20.260000228881836,156.487548828125,6.273633003234863,30.65379524230957
2020-01-14,275.8453674316406,165.95535278320312,58.478233337402344,20.0,155.3853759765625,6.1566162109375,31.167146682739258
2020-01-15,276.83013916015625,166.23068237304688,58.05284881591797,20.239999771118164,156.3917236328125,6.114039897918701,31.63384437561035
2020-01-16,278.8637390136719,164.39100646972656,57.618255615234375,21.010000228881836,159.25730895996094,6.197695732116699,31.587173461914062
2020-01-17,280.3822021484375,170.7799530029297,61.487125396728516,20.6200008392334,160.14865112304688,6.206409454345703,31.509382247924805
2020-01-21,288.2779846191406,169.69715881347656,57.64788055419922,20.940000534057617,159.57359313964844,6.17304801940918,31.377168655395508
2020-01-22,287.0172119140625,168.29415893554688,58.3547248840332,21.969999313354492,158.8068389892578,6.22707462310791,31.260488510131836
2020-01-23,287.9282531738281,162.92855834960938,54.6302604675293,21.469999313354492,159.784423828125,6.295542240142822,31.664949417114258
2020-01-24,285.7472839355469,163.05117797851562,54.53178787231445,21.1200008392334,158.17431640625,6.236287593841553,30.97269630432129
2020-01-27,284.7718505859375,170.93089294433594,58.763267517089844,22.739999771118164,155.52914428710938,5.980341911315918,31.237154006958008
2020-01-28,286.0601806640625,176.3703155517578,60.671817779541016,22.360000610351562,158.57687377929688,6.1737961769104,29.66596221923828
2020-01-29,284.89141845703125,175.0503387451172,60.07793426513672,20.549999237060547,161.0495147705078,6.113295078277588,29.230379104614258
2020-01-30,284.790283203125,184.6904754638672,68.15906524658203,20.989999771118164,165.59237670898438,6.120017051696777,29.12824058532715
2020-01-31,281.1552429199219,180.16017150878906,67.8794937133789,20.510000228881836,163.14840698242188,5.886478900909424,29.26181983947754
2020-02-03,277.91595458984375,189.8650665283203,69.78022003173828,20.3799991607666,167.1258087158203,5.983579158782959,29.473976135253906
2020-02-04,280.5846252441406,189.25059509277344,68.1957778930664,20.8700008392334,172.62704467773438,6.152881145477295,29.615406036376953
2020-02-05,284.3117370605469,204.23023986816406,72.49310302734375,20.049999237060547,172.41612243652344,6.243257999420166,29.992578506469727
2020-02-06,286.4419250488281,212.33908081054688,73.38868713378906,19.8799991607666,175.990966796875,6.330150127410889,30.063289642333984
2020-02-07,289.2269592285156,222.72605895996094,74.35611724853516,23.239999771118164,176.2401580810547,6.263923168182373,29.898283004760742
2020-02-10,289.3746032714844,223.522705078125,74.33509826660156,23.649999618530273,180.85008239746094,6.547255516052246,29.70969009399414
2020-02-11,286.50653076171875,235.8511962890625,76.59739685058594,21.350000381469727,176.767333984375,6.669749736785889,29.929716110229492
2020-02-12,290.6011047363281,265.4061279296875,81.29744720458984,19.010000228881836,177.0260772705078,6.785523414611816,29.654695510864258
2020-02-13,293.4414367675781,268.0992431640625,80.40342712402344,19.045000076293945,176.0676727294922,6.741703987121582,29.018226623535156
2020-02-14,293.5428161621094,284.2174987792969,82.99034881591797,19.0,177.63946533203125,7.21500301361084,28.688209533691406
2020-02-18,296.9917907714844,281.944580078125,77.0351791381836,18.90999984741211,179.4412384033203,7.383806228637695,28.538908004760742
2020-02-19,297.8863525390625,259.76397705078125,71.13594055175781,18.920000076293945,179.9794158935547,7.8351945877075195,28.468191146850586
2020-02-20,298.8638916015625,257.949462890625,69.62484741210938,18.540000915527344,177.23086547851562,7.685812473297119,28.169601440429688
2020-02-21,296.8996276855469,265.6006164550781,73.45092010498047,18.229999542236328,171.6281280517578,7.321561813354492,28.06745147705078
2020-02-24,289.2177734375,265.2164306640625,75.5356216430664,18.59000015258789,164.22830200195312,6.803946018218994,27.242401123046875
2020-02-25,281.1485900878906,247.81759643554688,71.18024444580078,23.760000228881836,161.51820373535156,6.524349212646484,26.660940170288086
2020-02-26,281.90478515625,225.68026733398438,61.01430892944336,29.15999984741211,163.53640747070312,6.663775444030762,27.281692504882812
2020-02-27,270.3221130371094,226.75338745117188,61.50788497924805,26.15999984741211,152.01377868652344,6.292830944061279,26.794517517089844
2020-02-28,259.2650451660156,226.760498046875,59.76395797729492,25.93000030517578,155.6945037841797,6.728047847747803,26.260204315185547
2020-03-02,285.0863342285156,230.5697784423828,60.995548248291016,29.8799991607666,166.0542449951172,6.8864898681640625,27.40741729736328
2020-03-03,279.1750793457031,224.47962951660156,61.14447784423828,27.90999984741211,158.09701538085938,6.623915672302246,26.951671600341797
2020-03-04,295.7836608886719,224.51797485351562,60.38241958618164,27.489999771118164,163.90158081054688,7.087779998779297,28.60177230834961
2020-03-05,291.1912841796875,229.2681884765625,62.04545974731445,28.010000228881836,159.78843688964844,6.80826473236084,27.8631591796875
