Date,BAC,COST,CVX,MRNA,NVDA,PFE,XRP-USD
2021-01-04,27.381515502929688,362.04583740234375,72.39886474609375,111.7300033569336,13.081204414367676,31.410316467285156,0.23667700588703156
2021-01-05,27.591230392456055,357.84588623046875,74.35604858398438,109.18000030517578,13.371737480163574,31.73457908630371,0.22675000131130219
2021-01-06,29.314542770385742,352.3982849121094,76.74913024902344,116.26000213623047,12.583430290222168,31.461509704589844,0.2508949935436249
2021-01-07,29.96192741394043,350.39825439453125,77.10807037353516,115.08999633789062,13.311136245727539,31.62364959716797,0.32600200176239014
2021-01-08,29.661026000976562,352.3221130371094,77.84310150146484,112.75,13.244050025939941,31.683378219604492,0.32322999835014343
2021-01-11,30.153409957885742,346.67449951171875,78.28750610351562,117.26000213623047,13.58795166015625,32.229496002197266,0.28890499472618103
2021-01-12,30.691373825073242,346.8554382324219,79.77464294433594,124.55000305175781,13.451539993286133,31.72603988647461,0.2921229898929596
2021-01-13,30.509004592895508,349.4744873046875,79.6977310180664,124.05999755859375,13.498422622680664,31.45297622680664,0.3055799901485443
2021-01-14,30.992265701293945,345.0935363769531,81.61216735839844,129.72000122070312,13.167741775512695,31.35912322998047,0.2954379916191101
2021-01-15,30.098690032958984,344.9126281738281,78.70630645751953,129.64999389648438,12.827831268310547,31.316457748413086,0.28040599822998047
2021-01-19,29.879865646362305,337.58880615234375,80.77459716796875,125.01000213623047,12.993172645568848,31.342050552368164,0.2943139970302582
2021-01-20,29.487789154052734,344.093505859375,81.51815795898438,125.13999938964844,13.332832336425781,31.14578628540039,0.2965179979801178
2021-01-21,28.96805763244629,345.5220947265625,78.63792419433594,132.97999572753906,13.833346366882324,31.128719329833984,0.26894599199295044
2021-01-22,28.76746368408203,345.04583740234375,78.39862060546875,131.02000427246094,13.678727149963379,31.18844985961914,0.27279898524284363
2021-01-25,28.41185760498047,344.64593505859375,77.68923950195312,147.0,13.619625091552734,31.81136703491211,0.269089013338089
2021-01-26,28.211261749267578,347.598388671875,76.37305450439453,151.92999267578125,13.40216064453125,31.83696937561035,0.26882699131965637
2021-01-27,27.199153900146484,339.41741943359375,75.38163757324219,155.72999572753906,12.885934829711914,30.923933029174805,0.2519429922103882
2021-01-28,27.64594268798828,340.05548095703125,76.08247375488281,159.5500030517578,13.018858909606934,30.93256187438965,0.26412200927734375
2021-01-29,27.035030364990234,335.6459655761719,72.8176498413086,173.16000366210938,12.957759857177734,30.967060089111328,0.2821879982948303
2021-02-01,27.317691802978516,333.826904296875,73.85179138183594,157.47999572753906,13.204401969909668,30.88079261779785,0.37150898575782776
2021-02-02,28.29332160949707,338.6459655761719,74.40734100341797,158.5800018310547,13.523362159729004,30.18210792541504,0.369269996881485
2021-02-03,28.794815063476562,338.2936096191406,76.03120422363281,165.86000061035156,13.497177124023438,30.052711486816406,0.3934899866580963
2021-02-04,29.633678436279297,339.5722351074219,76.06536865234375,173.30999755859375,13.630599021911621,30.09584617614746,0.44644901156425476
2021-02-05,29.515140533447266,338.92340087890625,76.28758239746094,176.24000549316406,13.557526588439941,30.121721267700195,0.45004698634147644
2021-02-08,30.171642303466797,343.37017822265625,78.18495178222656,185.97999572753906,14.403188705444336,30.035465240478516,0.44770199060440063
2021-02-09,30.043991088867188,343.112548828125,77.74052429199219,179.52000427246094,14.228120803833008,30.16485023498535,0.47199100255966187
2021-02-10,30.071348190307617,339.82989501953125,79.07379913330078,179.33999633789062,14.727887153625488,29.96645736694336,0.503445029258728
2021-02-11,29.980167388916016,336.0892028808594,78.64647674560547,183.44000244140625,15.213189125061035,29.699050903320312,0.5247870087623596
2021-02-12,30.42694664001465,336.6141052246094,79.09944915771484,183.74000549316406,14.92440414428711,29.949199676513672,0.6085919737815857
2021-02-16,31.247570037841797,337.806884765625,80.72026062011719,178.52999877929688,15.292494773864746,29.923324584960938,0.5208460092544556
2021-02-17,31.37522315979004,341.6621398925781,83.13849639892578,176.75999450683594,14.869288444519043,30.09584617614746,0.5355370044708252
2021-02-18,31.174623489379883,340.5933532714844,82.34107971191406,169.57000732421875,14.79248046875,29.81118392944336,0.5324329733848572
2021-02-19,31.49376678466797,338.5416564941406,83.03449249267578,174.74000549316406,14.889738082885742,29.707674026489258,0.567018985748291
2021-02-22,32.049964904785156,334.19024658203125,85.27937316894531,159.3699951171875,14.320394515991211,29.55240821838379,0.571740984916687
2021-02-23,32.3873291015625,326.49896240234375,86.35411834716797,150.1699981689453,14.107170104980469,29.250499725341797,0.47356298565864563
2021-02-24,33.17148208618164,325.1153564453125,89.54376220703125,144.7899932861328,14.463292121887207,29.112485885620117,0.4718320071697235
2021-02-25,32.761165618896484,318.6263122558594,88.71168518066406,148.3800048828125,13.274724960327148,29.172870635986328,0.4345239996910095
2021-02-26,31.64876365661621,315.8590087890625,86.67483520507812,154.80999755859375,13.68072509765625,28.88821029663086,0.4278999865055084
2021-03-01,32.633514404296875,316.59381103515625,88.45165252685547,157.39999389648438,13.807660102844238,29.060728073120117,0.44724398851394653
2021-03-02,32.39643859863281,313.4351806640625,88.7896957397461,146.80999755859375,13.3732328414917,28.905466079711914,0.43683698773384094
2021-03-03,33.207950592041016,309.1028747558594,89.78645324707031,131.22000122070312,12.773218154907227,29.66454315185547,0.45027899742126465
2021-03-04,33.446205139160156,304.44610595703125,90.57518768310547,132.3000030517578,12.339784622192383,29.500656127929688,0.4866049885749817
2021-03-05,33.84022521972656,302.8047790527344,94.47555541992188,132.19000244140625,12.430809020996094,29.66454315185547,0.4581190049648285
