Date,AAPL,BTC-USD,COST,ETH-USD,GOOGL,MSFT,XRP-USD
2023-01-03,123.90463256835938,16679.857421875,437.8974914550781,1214.77880859375,88.89987182617188,236.18353271484375,0.34382399916648865
2023-01-04,125.1826171875,16863.23828125,441.0661926269531,1256.526611328125,87.86243438720703,225.8520965576172,0.3477939963340759
2023-01-05,123.85509490966797,16836.736328125,434.912353515625,1250.4385986328125,85.9870834350586,219.15835571289062,0.33803901076316833
2023-01-06,128.41221618652344,16951.96875,466.4833679199219,1269.3790283203125,87.12425994873047,221.74118041992188,0.3446449935436249
2023-01-09,128.93727111816406,17196.5546875,462.5031433105469,1321.5389404296875,87.80258178710938,223.90016174316406,0.3493399918079376
2023-01-10,129.51190185546875,17446.29296875,465.0632629394531,1336.5860595703125,88.20159149169922,225.60562133789062,0.35124099254608154
2023-01-11,132.2461700439453,17934.896484375,467.8744812011719,1387.9327392578125,91.29393768310547,232.42752075195312,0.37415799498558044
2023-01-12,132.16693115234375,18869.587890625,466.0582580566406,1417.9384765625,90.90489959716797,235.12869262695312,0.37519699335098267
2023-01-13,133.5043487548828,19909.57421875,468.7825927734375,1451.6148681640625,91.89246368408203,235.83848571777344,0.3858039975166321
2023-01-17,134.67335510253906,21161.51953125,470.2509765625,1567.8460693359375,91.06451416015625,236.94261169433594,0.3877109885215759
2023-01-18,133.95013427734375,20688.78125,463.1987609863281,1515.5069580078125,90.89493560791016,232.4669647216797,0.3794519901275635
2023-01-19,134.00958251953125,21086.79296875,453.5574035644531,1552.5565185546875,92.8201675415039,228.6419677734375,0.3937849998474121
2023-01-20,136.58534240722656,22676.552734375,463.8170166015625,1659.754150390625,97.77788543701172,236.81443786621094,0.41334399580955505
2023-01-23,139.795166015625,22934.431640625,475.892822265625,1628.2510986328125,99.54351806640625,239.14097595214844,0.4249430000782013
2023-01-24,141.20193481445312,22636.46875,475.4097900390625,1556.604248046875,97.45867156982422,238.60862731933594,0.40770700573921204
2023-01-25,140.5382080078125,23117.859375,474.2215881347656,1611.7110595703125,94.98480224609375,237.19891357421875,0.41769298911094666
2023-01-26,142.61863708496094,23032.77734375,481.38970947265625,1603.10595703125,97.27912139892578,244.48416137695312,0.4101029932498932
2023-01-27,144.57025146484375,23078.728515625,486.2104187011719,1598.156494140625,99.12455749511719,244.6418914794922,0.41279101371765137
2023-01-30,141.66757202148438,22840.138671875,486.20068359375,1567.3265380859375,96.70055389404297,239.26914978027344,0.39459100365638733
2023-01-31,142.94554138183594,23139.283203125,493.79400634765625,1586.535400390625,98.59586334228516,244.29684448242188,0.4063889980316162
2023-02-01,144.07492065429688,23723.76953125,500.334228515625,1641.792724609375,100.18193817138672,249.1668243408203,0.41389200091362
2023-02-02,149.4147186279297,23471.87109375,506.54718017578125,1643.2415771484375,107.473876953125,260.8487854003906,0.40974700450897217
2023-02-03,153.06040954589844,23449.322265625,498.195556640625,1664.74560546875,104.52118682861328,254.68743896484375,0.4122050106525421
2023-02-06,150.3162078857422,22760.109375,498.9600830078125,1616.2470703125,102.64582824707031,253.1298065185547,0.3928239941596985
2023-02-07,153.20899963378906,23264.291015625,499.86981201171875,1672.0035400390625,107.3741226196289,263.7668151855469,0.403903990983963
2023-02-08,150.5044403076172,22939.3984375,487.5600280761719,1650.716796875,99.12455749511719,262.9486083984375,0.39805200695991516
2023-02-09,149.46421813964844,21819.0390625,484.4825744628906,1546.438232421875,94.77532196044922,259.88275146484375,0.38246598839759827
2023-02-10,149.8313446044922,21651.18359375,483.8631896972656,1514.869140625,94.3364028930664,259.37005615234375,0.38264501094818115
2023-02-13,152.64918518066406,21808.1015625,490.1148986816406,1507.1658935546875,94.37631225585938,267.4735412597656,0.3716750144958496
2023-02-14,152.00424194335938,22220.8046875,486.9891052246094,1556.8751220703125,94.44613647460938,268.3115539550781,0.382407009601593
2023-02-15,154.11761474609375,24307.841796875,494.7890625,1673.7459716796875,96.70055389404297,266.16693115234375,0.4013519883155823
2023-02-16,152.51025390625,23623.474609375,487.84063720703125,1640.067626953125,95.27408599853516,259.080810546875,0.3851569890975952
2023-02-17,151.35934448242188,24565.6015625,491.1116943359375,1694.7833251953125,94.11695098876953,255.03871154785156,0.3953019976615906
2023-02-21,147.3210906982422,24436.353515625,485.5567932128906,1658.036376953125,91.56327819824219,249.7118377685547,0.3919050097465515
2023-02-22,147.7477264404297,24188.84375,481.34710693359375,1643.231689453125,91.42362213134766,248.56539916992188,0.3955860137939453
2023-02-23,148.23390197753906,23947.4921875,477.2341613769531,1651.0738525390625,90.66549682617188,251.78724670410156,0.38912999629974365
2023-02-24,145.56491088867188,23198.126953125,472.85028076171875,1608.3731689453125,88.90984344482422,246.30223083496094,0.37847700715065
2023-02-27,146.76547241210938,23522.87109375,471.32122802734375,1634.326416015625,89.64801788330078,247.23121643066406,0.3791149854660034
2023-02-28,146.2594451904297,23147.353515625,468.56317138671875,1605.8951416015625,89.8375473022461,246.4998779296875,0.3771499991416931
2023-03-01,144.17584228515625,23646.55078125,463.23089599609375,1663.4337158203125,90.13681030273438,243.38677978515625,0.38387900590896606
2023-03-02,144.7711639404297,23475.466796875,470.0245056152344,1647.3193359375,91.77275085449219,248.17010498046875,0.3775799870491028
2023-03-03,149.8511962890625,22362.6796875,459.9308776855469,1569.1676025390625,93.4186782836914,252.30116271972656,0.3776710033416748
2023-03-06,152.6293487548828,22429.7578125,467.4986572265625,1567.398681640625,94.89501953125,253.86264038085938,0.3704710006713867
