Date,JNJ,KO,PEP,PG,WMT
2021-01-04,141.05670166015625,47.085601806640625,129.6891326904297,125.56045532226562,46.173404693603516
2021-01-05,142.7151336669922,46.567989349365234,130.07565307617188,126.36219787597656,45.927616119384766
2021-01-06,144.05812072753906,45.08652114868164,128.48452758789062,127.69229888916016,46.21438217163086
2021-01-07,144.5448455810547,44.586753845214844,128.07102966308594,126.49883270263672,46.21122360229492
2021-01-08,144.24737548828125,45.5862922668457,129.60818481445312,126.44416809082031,46.204917907714844
2021-01-11,143.6435089111328,44.80094528198242,127.72943878173828,125.58782958984375,46.41289138793945
2021-01-12,142.52584838867188,44.72061538696289,127.13613891601562,124.85896301269531,46.94228744506836
2021-01-13,142.30953979492188,44.76524353027344,128.1789093017578,125.05030059814453,46.46331024169922
2021-01-14,144.79718017578125,43.935264587402344,127.43279266357422,123.72016143798828,46.31205749511719
2021-01-15,144.48170471191406,43.46226501464844,127.10016632080078,122.7908706665039,45.577842712402344
2021-01-19,146.71697998046875,43.29269790649414,127.70247650146484,121.71586608886719,45.18395233154297
2021-01-20,146.35647583007812,43.444419860839844,127.04625701904297,120.19439697265625,45.85198974609375
2021-01-21,145.77061462402344,43.68538284301758,125.50009155273438,120.07618713378906,45.644020080566406
2021-01-22,147.4110565185547,43.27485656738281,124.5831527709961,119.15045928955078,46.11039352416992
2021-01-25,149.60121154785156,43.53365707397461,126.0124740600586,121.20352172851562,46.069419860839844
2021-01-26,153.6571502685547,43.98881530761719,127.46875,121.98258209228516,46.482208251953125
2021-01-27,151.31373596191406,43.310546875,124.08872985839844,117.6656723022461,45.32576370239258
2021-01-28,152.4674530029297,43.86386489868164,125.1225357055664,119.48042297363281,45.297393798828125
2021-01-29,147.03250122070312,42.97141647338867,122.767333984375,117.5098648071289,44.2701301574707
2021-02-01,146.65394592285156,43.26592254638672,123.13587951660156,118.20642852783203,43.88569641113281
2021-02-02,145.33799743652344,43.69430160522461,124.3944091796875,118.04146575927734,44.358360290527344
2021-02-03,144.6619873046875,43.52473831176758,124.07073974609375,118.1880874633789,44.49384689331055
2021-02-04,146.00494384765625,43.738914489746094,125.5630111694336,118.26143646240234,44.91295623779297
2021-02-05,148.22219848632812,44.31009292602539,126.71363830566406,118.75634765625,45.48960876464844
2021-02-08,148.64581298828125,44.55105209350586,126.21025085449219,118.3897476196289,45.70073699951172
2021-02-09,149.86264038085938,44.35471725463867,125.49111938476562,117.93144989013672,45.95282745361328
2021-02-10,150.34930419921875,44.265464782714844,123.78311920166016,117.51901245117188,45.41712951660156
2021-02-11,149.67335510253906,44.89018249511719,121.32904815673828,117.61984252929688,45.38247299194336
2021-02-12,150.14202880859375,45.23823165893555,120.34020233154297,116.96907806396484,45.52427291870117
2021-02-16,148.781005859375,44.8634147644043,120.79866790771484,117.24405670166016,45.899261474609375
2021-02-17,149.31280517578125,44.73846435546875,120.87059020996094,117.7389907836914,46.3845329284668
2021-02-18,149.38490295410156,45.30964279174805,121.68859100341797,118.71969604492188,43.378360748291016
2021-02-19,146.8972625732422,44.72061538696289,119.11763000488281,116.51083374023438,43.59264373779297
2021-02-22,146.80657958984375,45.184696197509766,118.65019989013672,116.01588439941406,43.38780975341797
2021-02-23,145.5096435546875,45.1043701171875,119.36035919189453,116.87744903564453,42.68825912475586
2021-02-24,147.45957946777344,45.25608444213867,118.74007415771484,117.00577545166016,41.97610855102539
2021-02-25,147.61376953125,44.774166107177734,116.861328125,116.01588439941406,41.579078674316406
2021-02-26,143.7139434814453,43.7210693359375,116.1332015991211,113.22041320800781,40.939388275146484
2021-03-01,144.493896484375,44.53321075439453,117.41867065429688,113.91699981689453,41.39630126953125
2021-03-02,144.22181701660156,44.711692810058594,117.82321166992188,113.55956268310547,40.9992561340332
2021-03-03,141.682373046875,44.6046028137207,116.08824920654297,112.8813247680664,40.20518493652344
2021-03-04,138.8255157470703,44.568904876708984,116.73429870605469,111.95559692382812,40.186275482177734
2021-03-05,141.5735626220703,45.32748794555664,120.53997802734375,115.46598052978516,40.68730163574219
2021-03-08,142.7525177001953,46.0860710144043,119.72444915771484,116.68495178222656,40.29655456542969
2021-03-09,143.02464294433594,45.38996124267578,119.83319854736328,115.64926147460938,40.61482620239258
2021-03-10,144.3396759033203,45.9075813293457,121.03834533691406,116.71245574951172,41.65154266357422
2021-03-11,144.3306427001953,45.40780258178711,120.71214294433594,116.31835174560547,41.63578414916992
2021-03-12,144.747802734375,45.317813873291016,120.54901885986328,117.4457015991211,42.26286697387695
2021-03-15,145.49151611328125,45.92073440551758,120.53997802734375,117.83063507080078,42.04543685913086
2021-03-16,146.35311889648438,46.091712951660156,121.42794799804688,118.17893981933594,42.032833099365234
2021-03-17,145.80894470214844,46.10971450805664,121.0745849609375,117.70232391357422,41.68305969238281
2021-03-18,145.536865234375,45.50679016113281,120.08690643310547,117.9589614868164,41.13880157470703
2021-03-19,145.1468505859375,45.72276306152344,121.8719482421875,117.32655334472656,41.68621826171875
2021-03-22,145.5640869140625,45.893733978271484,124.86212158203125,119.31543731689453,41.88556671142578
2021-03-23,145.42799377441406,46.24468994140625,126.36627197265625,121.53346252441406,42.38235855102539
2021-03-24,146.8428497314453,46.361671447753906,125.77725982666016,121.496826171875,42.11972427368164
2021-03-25,146.89727783203125,46.81161117553711,126.52032470703125,122.34002685546875,42.40451431274414
2021-03-26,149.581787109375,47.72948455810547,129.3020782470703,124.1456298828125,42.7589111328125
2021-03-29,150.58848571777344,48.45838165283203,131.21395874023438,126.08867645263672,43.246212005615234
