Date,BTC-USD,ETH-USD,MRNA,NVDA,XRP-USD
2021-01-04,31971.9140625,1040.2330322265625,111.7300033569336,13.081204414367676,0.23667700588703156
2021-01-05,33992.4296875,1100.006103515625,109.18000030517578,13.371737480163574,0.22675000131130219
2021-01-06,36824.36328125,1207.1121826171875,116.26000213623047,12.583433151245117,0.2508949935436249
2021-01-07,39371.04296875,1225.6781005859375,115.08999633789062,13.311136245727539,0.32600200176239014
2021-01-08,40797.609375,1224.1971435546875,112.75,13.244051933288574,0.32322999835014343
2021-01-11,35566.65625,1090.1453857421875,117.26000213623047,13.58795166015625,0.28890499472618103
2021-01-12,33922.9609375,1043.4345703125,124.55000305175781,13.451539993286133,0.2921229898929596
2021-01-13,37316.359375,1130.7393798828125,124.05999755859375,13.498421669006348,0.3055799901485443
2021-01-14,39187.328125,1218.4530029296875,129.72000122070312,13.167739868164062,0.2954379916191101
2021-01-15,36825.3671875,1171.8345947265625,129.64999389648438,12.827829360961914,0.28040599822998047
2021-01-19,36069.8046875,1377.2958984375,125.01000213623047,12.993170738220215,0.2943139970302582
2021-01-20,35547.75,1382.2740478515625,125.13999938964844,13.332832336425781,0.2965179979801178
2021-01-21,30825.69921875,1121.5709228515625,132.97999572753906,13.83334732055664,0.26894599199295044
2021-01-22,33005.76171875,1236.51220703125,131.02000427246094,13.678726196289062,0.27279898524284363
2021-01-25,32366.392578125,1324.414794921875,147.0,13.619625091552734,0.269089013338089
2021-01-26,32569.849609375,1357.05810546875,151.92999267578125,13.402161598205566,0.26882699131965637
2021-01-27,30432.546875,1253.1871337890625,155.72999572753906,12.885936737060547,0.2519429922103882
2021-01-28,33466.09765625,1332.4921875,159.5500030517578,13.018856048583984,0.26412200927734375
2021-01-29,34316.38671875,1382.5228271484375,173.16000366210938,12.957758903503418,0.2821879982948303
2021-02-01,33537.17578125,1369.04052734375,157.47999572753906,13.204400062561035,0.37150898575782776
2021-02-02,35510.2890625,1515.1937255859375,158.5800018310547,13.523362159729004,0.369269996881485
2021-02-03,37472.08984375,1660.9095458984375,165.86000061035156,13.497178077697754,0.3934899866580963
2021-02-04,36926.06640625,1594.7626953125,173.30999755859375,13.630597114562988,0.44644901156425476
2021-02-05,38144.30859375,1718.65087890625,176.24000549316406,13.557527542114258,0.45004698634147644
2021-02-08,46196.46484375,1746.6168212890625,185.97999572753906,14.403190612792969,0.44770199060440063
2021-02-09,46481.10546875,1768.0350341796875,179.52000427246094,14.228121757507324,0.47199100255966187
2021-02-10,44918.18359375,1744.243408203125,179.33999633789062,14.727888107299805,0.503445029258728
2021-02-11,47909.33203125,1783.7979736328125,183.44000244140625,15.213190078735352,0.5247870087623596
2021-02-12,47504.8515625,1843.5325927734375,183.74000549316406,14.924403190612793,0.6085919737815857
2021-02-16,49199.87109375,1781.0675048828125,178.52999877929688,15.29249382019043,0.5208460092544556
2021-02-17,52149.0078125,1848.458251953125,176.75999450683594,14.86928939819336,0.5355370044708252
2021-02-18,51679.796875,1937.44921875,169.57000732421875,14.79248046875,0.5324329733848572
2021-02-19,55888.1328125,1960.164794921875,174.74000549316406,14.889738082885742,0.567018985748291
2021-02-22,54207.3203125,1781.992919921875,159.3699951171875,14.320396423339844,0.571740984916687
2021-02-23,48824.42578125,1570.2039794921875,150.1699981689453,14.107170104980469,0.47356298565864563
2021-02-24,49705.33203125,1626.57568359375,144.7899932861328,14.46329116821289,0.4718320071697235
2021-02-25,47093.8515625,1475.7037353515625,148.3800048828125,13.274724006652832,0.4345239996910095
2021-02-26,46339.76171875,1446.03369140625,154.80999755859375,13.680724143981934,0.4278999865055084
2021-03-01,49631.2421875,1564.7076416015625,157.39999389648438,13.807659149169922,0.44724398851394653
2021-03-02,48378.98828125,1492.6087646484375,146.80999755859375,13.373235702514648,0.43683698773384094
2021-03-03,50538.2421875,1575.8531494140625,131.22000122070312,12.773216247558594,0.45027899742126465
2021-03-04,48561.16796875,1541.914306640625,132.3000030517578,12.33978271484375,0.4866049885749817
2021-03-05,48927.3046875,1533.2750244140625,132.19000244140625,12.43080997467041,0.4581190049648285
2021-03-08,52246.5234375,1834.7279052734375,123.47000122070312,11.564697265625,0.47359699010849
2021-03-09,54824.1171875,1868.048828125,130.8699951171875,12.49372673034668,0.48598799109458923
2021-03-10,56008.55078125,1799.166259765625,129.75,12.4418363571167,0.4631659984588623
2021-03-11,57805.12109375,1826.1949462890625,140.47000122070312,12.965974807739258,0.4529600143432617
2021-03-12,57332.08984375,1772.1024169921875,136.99000549316406,12.828764915466309,0.44113099575042725
